cont,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0,0.4734085609,0.08412525169,0.06006329012,0.2049563065,0.2548275538,0.3678530594,0.2082793085,0.6357975585,0.5645257153,0,0.096418596,0.1577063399,0.03050077151,0.9815257701,0,0.006451611809,0,0,0,1
1,0.5050746515,0.1168997764,0.07763536022,0.2156829965,0.2469609829,0.6442786179,0.4837658926,0.6309642123,0.5915784058,0,0.1258280348,0.2876416017,0.03114020984,0.8345998441,0.0004074495096,0.006451611809,0.002144388849,0.002145922747,0.05644899289,1
2,0.6755358128,0.1028726947,0.03428440176,0.3859124643,0.4571480901,0.8852552896,0.782274946,0.4427377025,0.5483820092,0,0.179222164,0.2369454993,0.03026356375,0.9549628925,0.00006019147031,0.006451611809,0.0003573981415,0.0003576537911,0.04988515656,1
3,0.5546108991,0.587559087,0.3899064391,0.7158023121,0.4073582009,0.0315494088,0.001612825284,0.9232609764,0.856457075,0.2995649464,0.528260905,0.1834421354,0.041287263,0.8345998441,0.06565879502,0.006451611809,0.02537526805,0.02539341917,0.2650428382,1
4,0.6272093165,0.4542724958,0.3176272166,0.7075154078,0.4744737679,0.02774248409,0.001732451769,0.9587356398,0.9263480224,0.37236215,0.4521952016,0.2791904553,0.03682865678,0.9292854426,0.2389935996,0.006451611809,0.2505360972,0.2507153076,0.2233801795,1
5,0.6314479501,0.4320292074,0.2740762931,0.7229007196,0.5346792937,0.05178237389,0.004772640528,0.9226810776,0.8701970106,0.4019836643,0.4411734061,0.2996993459,0.03776059697,0.8571440339,0.09844823788,0.006451611809,0.1243745533,0.1244635193,0.134237579,1
6,0.578887216,0.5959315015,0.3750034806,0.7060975716,0.413440754,0.04016074308,0.002997253533,0.9407283261,0.9003817145,0.3078457464,0.5260614288,0.276700603,0.08468239723,0.9292854426,0.1599416579,0.006451611809,0.2426733381,0.2428469242,0.1329851021,1
7,0.602658549,0.5329160633,0.4463589427,0.8199420775,0.4496701841,0.0363009248,0.002063528503,0.9065444755,0.8473090005,0.4583002393,0.5721134822,0.2058926088,0.04108394501,0.2332183509,0.09950499741,0.006451611809,0.02430307362,0.0243204578,0.3045308227,1
8,0.6155733869,0.5099417057,0.3560139511,0.7185447356,0.4452583898,0.027701207,0.001530982938,0.9536722959,0.9107461907,0.7825112107,0.4858135243,0.2260853645,0.04210966489,0.8345998441,0.111416373,0.006451611809,0.09864188706,0.09871244635,0.1590263156,1
9,0.6396324714,0.4414657701,0.3049198189,0.6897826523,0.4704867646,0.03032158152,0.002079359046,0.972259874,0.9523227751,0.0417812,0.4484569675,0.2763513492,0.04902148339,0.9044498746,0.1127344956,0.0236559129,0.2144388849,0.2142346209,0.09644195597,1
10,0.5528808816,0.6281144097,0.4095254125,0.7539091199,0.423920396,0.02422257939,0.001457516157,0.9311784181,0.8644727108,0.344137275,0.5556145488,0.1830529137,0.06327012943,0.08268481274,0.1533677094,0.006451611809,0.1283059328,0.128397711,0.2145061728,1
11,0.605621174,0.4657424977,0.3524025292,0.693175991,0.4244072653,0.04294027755,0.003229649017,0.9342795017,0.8872367078,0.04321808571,0.4683933847,0.2671153553,0.04818977662,0.9044498746,0.08077687044,0.006451611809,0.1240171551,0.1241058655,0.1419509313,1
12,0.645067194,0.4526991845,0.3355323379,0.7213181104,0.4692444448,0.03576806824,0.002248868997,0.9240461386,0.8675209686,0.3872644571,0.4626898683,0.2036494679,0.03609718343,0.6262915295,0.1606369794,0.0236559129,0.2290922087,0.2288984263,0.09491898145,1
13,0.4300775033,0.7191955718,0.5204395018,0.8094016464,0.3624202757,0.03549922075,0.00260575795,0.8169238584,0.6205541245,0.7850953214,0.6699180077,0.4170810132,0.07835472296,0.9815257701,0.4302906774,0.006451611809,0.1279485347,0.1280400572,0.4467630306,1
14,0.5016933804,0.720311748,0.5216933351,0.855472584,0.4058026157,0.099074617,0.02548004653,0.8287870661,0.663124442,0.17852605,0.6788423479,0.2594226216,0.05691093279,0.9815257701,0.4196545011,0.4365591392,0.308077198,0.2993562232,0.1494376215,1
15,0.5267547247,0.7188794918,0.4668746773,0.8039671024,0.4128438949,0.1255880859,0.04565539142,0.8725083775,0.7422811041,0.1786696,0.6370820598,0.255288499,0.04401518566,0.8127493209,0.5469688345,0.006451611809,0.3198713367,0.3201001431,0.2244924937,1
16,0.4893926071,0.787118796,0.5343666114,0.8737103517,0.4103149287,0.04107621585,0.004409712019,0.8214452125,0.6226998583,0.1790333571,0.7153506678,0.3172248186,0.03998162964,0.9815257701,0.483513573,0.006451611809,0.2887776984,0.2889842632,0.2732591861,1
17,0.583101074,0.5667617412,0.4943468486,0.8705035539,0.4488156499,0.08863808156,0.01812336841,0.8149011286,0.6817648933,0.2141372143,0.6227964154,0.1326568095,0.03034248032,0.9044498746,0.03338011097,0.006451611809,0.02573266619,0.02575107296,0.148389687,1
18,0.5753541649,0.5380377314,0.4674975817,0.8540480023,0.460771674,0.07409843315,0.01255502047,0.8049146979,0.6486690766,0.2144035179,0.6090968531,0.1533394509,0.03058015127,0.7316807174,0.04703597439,0.006451611809,0.1426018585,0.1427038627,0.06385483781,1
19,0.5674158205,0.5698063137,0.4995644412,0.8731782055,0.4459848376,0.0770084776,0.01436975082,0.790094284,0.5972165929,0.2143814214,0.6340563337,0.1898390341,0.03050077151,0.6103444848,0.06279323091,0.006451611809,0.128663331,0.1287553648,0.07306494456,1
20,0.6040587966,0.6663807005,0.4849552288,0.8780954044,0.4659443676,0.081715612,0.01377364989,0.7679958392,0.6031870781,0.2141190214,0.6299144407,0.2087545851,0.03081923235,0.5505430541,0.07731354944,0.006451611809,0.03252323088,0.03254649499,0.2521190569,1
21,0.5779182655,0.6326645011,0.5197690452,0.9163006665,0.4668029958,0.07071504345,0.007810806412,0.7258533299,0.543931335,0.2141316071,0.668926014,0.2366002933,0.03278396886,0.9815257701,0.06848819244,0.006451611809,0.1686919228,0.1688125894,0.06428746995,1
22,0.5581018802,0.5377342347,0.460107227,0.800364019,0.4163856795,0.09963979527,0.02033225363,0.7740586124,0.6271819346,0.2140762464,0.5863820649,0.03831633563,0.03042155129,0.5365155572,0.01756321962,0.006451611809,0.02001429593,0.0200286123,0.09834983823,1
23,0.5855092464,0.5397741036,0.5008133497,0.8987352522,0.4694750611,0.07735020005,0.008945108424,0.7198870655,0.5596227892,0.2140864714,0.6179127217,0.1215628045,0.03050077151,0.5094746006,0.03178106378,0.006451611809,0.02537526805,0.02539341917,0.1735261199,1
24,0.6010888349,0.5348622418,0.4884111825,0.8428537279,0.4281686846,0.1767153218,0.06380163319,0.7987763862,0.6581985176,0.2145653893,0.5716797137,0.2382520442,0.03253318461,0.9815257701,0.06744150625,0.006451611809,0.1804860615,0.1806151645,0.07924895696,1
25,0.5881593959,0.5436321309,0.4794045121,0.8568713851,0.4511297823,0.1175950197,0.03182563356,0.830168503,0.7036007155,0.2141600714,0.5918787721,0.1504756731,0.03018480672,0.8571440339,0.04594801959,0.006451611809,0.04824874911,0.0482832618,0.1350594422,1
